id_daty_pk,data_przyjecia_wniosku,czy_wakacje,czy_wolne,dzien_tygodnia,czy_weekend,pora_roku
1096,2026-11-25,nie_wakacje,nie_wolne,Wednesday,nie_weekend,jesien
1097,2026-11-26,nie_wakacje,nie_wolne,Thursday,nie_weekend,jesien
1098,2026-11-27,nie_wakacje,nie_wolne,Friday,tak_weekend,jesien
1099,2026-11-28,nie_wakacje,tak_wolne,Saturday,tak_weekend,jesien
1100,2026-11-29,nie_wakacje,tak_wolne,Sunday,nie_weekend,jesien
1101,2026-11-30,nie_wakacje,nie_wolne,Monday,nie_weekend,jesien
1102,2026-12-01,nie_wakacje,nie_wolne,Tuesday,nie_weekend,zima
1103,2026-12-02,nie_wakacje,nie_wolne,Wednesday,nie_weekend,zima
1104,2026-12-03,nie_wakacje,nie_wolne,Thursday,nie_weekend,zima
1105,2026-12-04,nie_wakacje,nie_wolne,Friday,tak_weekend,zima
1106,2026-12-05,nie_wakacje,tak_wolne,Saturday,tak_weekend,zima
1107,2026-12-06,nie_wakacje,tak_wolne,Sunday,nie_weekend,zima
1108,2026-12-07,nie_wakacje,nie_wolne,Monday,nie_weekend,zima
1109,2026-12-08,nie_wakacje,nie_wolne,Tuesday,nie_weekend,zima
1110,2026-12-09,nie_wakacje,nie_wolne,Wednesday,nie_weekend,zima
1111,2026-12-10,nie_wakacje,nie_wolne,Thursday,nie_weekend,zima
1112,2026-12-11,nie_wakacje,nie_wolne,Friday,tak_weekend,zima
1113,2026-12-12,nie_wakacje,tak_wolne,Saturday,tak_weekend,zima
1114,2026-12-13,nie_wakacje,tak_wolne,Sunday,nie_weekend,zima
1115,2026-12-14,nie_wakacje,nie_wolne,Monday,nie_weekend,zima
1116,2026-12-15,nie_wakacje,nie_wolne,Tuesday,nie_weekend,zima
1117,2026-12-16,nie_wakacje,nie_wolne,Wednesday,nie_weekend,zima
1118,2026-12-17,nie_wakacje,nie_wolne,Thursday,nie_weekend,zima
1119,2026-12-18,nie_wakacje,nie_wolne,Friday,tak_weekend,zima
1120,2026-12-19,nie_wakacje,tak_wolne,Saturday,tak_weekend,zima
1121,2026-12-20,nie_wakacje,tak_wolne,Sunday,nie_weekend,zima
1122,2026-12-21,nie_wakacje,nie_wolne,Monday,nie_weekend,zima
1123,2026-12-22,nie_wakacje,nie_wolne,Tuesday,nie_weekend,zima
1124,2026-12-23,nie_wakacje,nie_wolne,Wednesday,nie_weekend,zima
