id_pk,id_wniosku_fk,id_pracownika_fk,id_stanowiska_fk
50001,50001,30,2
50002,50002,14,9
50003,50003,36,7
50004,50004,16,2
50005,50005,9,10
50006,50006,13,8
50007,50007,36,8
50008,50008,30,3
50009,50009,36,7
50010,50010,21,9
50011,50011,36,10
50012,50012,47,6
50013,50013,35,2
50014,50014,11,8
50015,50015,14,6
50016,50016,49,8
50017,50017,28,9
50018,50018,17,3
50019,50019,30,3
50020,50020,43,8
50021,50021,45,8
50022,50022,45,3
50023,50023,38,10
50024,50024,2,6
50025,50025,44,3
50026,50026,1,6
50027,50027,1,3
50028,50028,5,2
50029,50029,49,10
50030,50030,17,2
50031,50031,20,9
50032,50032,4,5
50033,50033,38,10
50034,50034,39,7
50035,50035,50,1
50036,50036,31,6
50037,50037,19,5
50038,50038,18,7
50039,50039,44,8
50040,50040,48,3
50041,50041,9,10
50042,50042,2,2
50043,50043,23,9
50044,50044,33,6
50045,50045,32,5
50046,50046,31,2
50047,50047,17,3
50048,50048,14,5
50049,50049,10,10
50050,50050,15,10
50051,50051,50,4
50052,50052,1,6
50053,50053,2,4
50054,50054,41,9
50055,50055,49,7
50056,50056,7,4
50057,50057,16,9
50058,50058,10,3
50059,50059,24,6
50060,50060,27,10
50061,50061,28,8
50062,50062,31,7
50063,50063,2,5
50064,50064,40,5
50065,50065,12,9
50066,50066,13,5
50067,50067,5,5
50068,50068,45,7
50069,50069,36,3
50070,50070,22,4
50071,50071,40,9
50072,50072,22,4
50073,50073,45,9
50074,50074,38,8
50075,50075,4,10
50076,50076,29,6
50077,50077,35,1
50078,50078,42,5
50079,50079,1,8
50080,50080,34,6
50081,50081,19,8
50082,50082,35,5
50083,50083,37,1
50084,50084,34,5
50085,50085,49,5
50086,50086,15,7
50087,50087,22,3
50088,50088,18,8
50089,50089,33,5
50090,50090,6,3
50091,50091,11,9
50092,50092,13,6
50093,50093,33,4
50094,50094,40,5
50095,50095,27,4
50096,50096,48,1
50097,50097,35,9
50098,50098,24,7
50099,50099,4,7
50100,50100,14,6
50101,50101,1,5
50102,50102,26,8
50103,50103,32,3
50104,50104,8,2
50105,50105,28,8
50106,50106,45,2
50107,50107,22,7
50108,50108,2,5
50109,50109,7,2
50110,50110,24,3
50111,50111,39,9
50112,50112,39,10
50113,50113,23,8
50114,50114,30,8
50115,50115,31,9
50116,50116,45,2
50117,50117,16,3
50118,50118,39,10
50119,50119,13,8
50120,50120,15,2
50121,50121,14,1
50122,50122,29,6
50123,50123,12,5
50124,50124,50,3
50125,50125,31,1
50126,50126,6,1
50127,50127,43,10
50128,50128,26,3
50129,50129,42,4
50130,50130,9,8
50131,50131,44,4
50132,50132,7,4
50133,50133,35,4
50134,50134,40,2
50135,50135,25,3
50136,50136,4,6
50137,50137,30,3
50138,50138,23,1
50139,50139,38,3
50140,50140,40,9
50141,50141,37,7
50142,50142,41,8
50143,50143,48,3
50144,50144,22,4
50145,50145,33,8
50146,50146,14,9
50147,50147,45,2
50148,50148,26,3
50149,50149,22,8
50150,50150,22,1
50151,50151,48,6
50152,50152,20,1
50153,50153,38,1
50154,50154,37,6
50155,50155,38,7
50156,50156,44,3
50157,50157,13,5
50158,50158,3,1
50159,50159,41,4
50160,50160,19,2
50161,50161,50,9
50162,50162,41,2
50163,50163,42,6
50164,50164,50,3
50165,50165,12,5
50166,50166,37,2
50167,50167,30,3
50168,50168,34,4
50169,50169,23,4
50170,50170,13,2
50171,50171,23,8
50172,50172,47,1
50173,50173,34,4
50174,50174,49,7
50175,50175,35,5
50176,50176,3,2
50177,50177,40,4
50178,50178,16,7
50179,50179,47,2
50180,50180,27,5
50181,50181,16,3
50182,50182,36,5
50183,50183,33,1
50184,50184,7,7
50185,50185,10,3
50186,50186,11,10
50187,50187,21,2
50188,50188,17,1
50189,50189,11,1
50190,50190,27,4
50191,50191,17,3
50192,50192,18,3
50193,50193,21,3
50194,50194,10,2
50195,50195,34,7
50196,50196,18,10
50197,50197,10,4
50198,50198,32,1
50199,50199,50,2
50200,50200,18,9
50201,50201,46,3
50202,50202,37,4
50203,50203,31,7
50204,50204,4,5
50205,50205,28,6
50206,50206,43,10
50207,50207,11,4
50208,50208,9,3
50209,50209,2,3
50210,50210,30,2
50211,50211,22,4
50212,50212,50,2
50213,50213,45,6
50214,50214,40,2
50215,50215,41,5
50216,50216,37,1
50217,50217,42,3
50218,50218,27,7
50219,50219,16,6
50220,50220,20,5
50221,50221,2,6
50222,50222,40,3
50223,50223,39,5
50224,50224,38,3
50225,50225,27,3
50226,50226,19,9
50227,50227,41,4
50228,50228,49,3
50229,50229,16,7
50230,50230,47,4
50231,50231,42,1
50232,50232,47,1
50233,50233,22,10
50234,50234,14,6
50235,50235,3,5
50236,50236,4,6
50237,50237,27,10
50238,50238,39,1
50239,50239,12,5
50240,50240,19,5
50241,50241,38,9
50242,50242,11,5
50243,50243,39,7
50244,50244,34,3
50245,50245,27,3
50246,50246,2,10
50247,50247,8,9
50248,50248,42,10
50249,50249,20,2
50250,50250,25,7
50251,50251,34,8
50252,50252,42,4
50253,50253,18,1
50254,50254,7,10
50255,50255,40,8
50256,50256,36,7
50257,50257,50,7
50258,50258,21,5
50259,50259,44,8
50260,50260,38,2
50261,50261,2,2
50262,50262,2,1
50263,50263,34,6
50264,50264,36,3
50265,50265,7,7
50266,50266,34,3
50267,50267,41,2
50268,50268,50,2
50269,50269,16,1
50270,50270,46,3
50271,50271,21,1
50272,50272,13,10
50273,50273,16,6
50274,50274,23,8
50275,50275,33,10
50276,50276,23,3
50277,50277,27,5
50278,50278,16,6
50279,50279,46,6
50280,50280,47,5
50281,50281,43,2
50282,50282,31,5
50283,50283,16,9
50284,50284,27,9
50285,50285,4,6
50286,50286,44,7
50287,50287,20,6
50288,50288,14,4
50289,50289,9,8
50290,50290,39,10
50291,50291,42,7
50292,50292,2,10
50293,50293,21,7
50294,50294,5,9
50295,50295,37,5
50296,50296,23,7
50297,50297,43,9
50298,50298,33,10
50299,50299,14,4
50300,50300,19,9
50301,50301,40,1
50302,50302,50,1
50303,50303,21,8
50304,50304,8,3
50305,50305,3,3
50306,50306,19,3
50307,50307,37,8
50308,50308,22,9
50309,50309,44,10
50310,50310,6,5
50311,50311,43,7
50312,50312,25,9
50313,50313,44,3
50314,50314,6,5
50315,50315,4,5
50316,50316,31,6
50317,50317,5,2
50318,50318,44,5
50319,50319,35,8
50320,50320,32,2
50321,50321,9,5
50322,50322,37,5
50323,50323,50,3
50324,50324,26,1
50325,50325,31,7
50326,50326,13,3
50327,50327,25,2
50328,50328,11,5
50329,50329,18,10
50330,50330,5,6
50331,50331,35,3
50332,50332,16,9
50333,50333,43,1
50334,50334,36,9
50335,50335,47,4
50336,50336,34,10
50337,50337,35,10
50338,50338,2,6
50339,50339,23,1
50340,50340,7,6
50341,50341,2,5
50342,50342,25,3
50343,50343,27,10
50344,50344,38,2
50345,50345,31,5
50346,50346,36,5
50347,50347,14,8
50348,50348,47,8
50349,50349,21,4
50350,50350,7,6
50351,50351,19,3
50352,50352,40,9
50353,50353,41,2
50354,50354,4,4
50355,50355,36,9
50356,50356,40,5
50357,50357,18,8
50358,50358,8,1
50359,50359,12,2
50360,50360,4,3
50361,50361,20,10
50362,50362,6,3
50363,50363,39,10
50364,50364,12,1
50365,50365,22,10
50366,50366,5,8
50367,50367,4,1
50368,50368,28,10
50369,50369,50,1
50370,50370,17,9
50371,50371,23,5
50372,50372,47,9
50373,50373,30,9
50374,50374,41,3
50375,50375,36,9
50376,50376,47,8
50377,50377,47,7
50378,50378,40,4
50379,50379,18,6
50380,50380,16,3
50381,50381,12,4
50382,50382,37,9
50383,50383,33,5
50384,50384,24,8
50385,50385,11,6
50386,50386,21,9
50387,50387,23,1
50388,50388,43,10
50389,50389,17,5
50390,50390,14,1
50391,50391,31,8
50392,50392,31,9
50393,50393,17,10
50394,50394,43,4
50395,50395,43,5
50396,50396,30,6
50397,50397,4,8
50398,50398,32,5
50399,50399,41,3
