id_pracownika_pk,data_urodzenia,data_zatrudnienia
101,1962-02-27,1990-02-20
102,2005-11-15,2023-12-31
103,1978-06-25,2011-06-17
104,1967-01-01,2005-12-22
105,1976-06-02,2003-05-27
106,1993-11-08,2023-12-31
107,1983-04-13,2003-04-08
108,1966-03-31,2000-03-22
109,1972-04-11,1995-04-06
110,1968-06-15,1998-06-08
111,2000-12-30,2023-12-31
112,2004-10-02,2023-12-31
113,1998-03-04,2023-02-26
114,1992-09-02,2012-08-28
115,1963-03-24,1988-03-17
116,1965-01-16,2002-01-07
117,2004-03-03,2023-12-31
118,1971-09-30,1998-09-23
119,2005-02-03,2023-12-31
120,1971-03-05,2008-02-24
121,1981-02-16,2016-02-08
122,1998-01-09,2023-12-31
123,1995-12-21,2023-12-14
124,1976-04-29,2003-04-23
125,1971-03-28,1996-03-21
126,1977-05-19,2012-05-10
127,1964-02-25,1994-02-17
128,1990-03-08,2014-03-02
129,1961-09-19,2000-09-09
130,1995-03-07,2020-02-29
