id_wniosku_pk,id_obslugi_fk,id_daty_fk,typ_wnioskowanego_dokumentu,stan_wniosku,godzina_pobrania_numerka,godzina_zeskanowania_wniosku_przy_okienku,druga_godzina_zeskanowania
101,101,1438,paszport,tworzony,12:23:00,12:28:00,12:31:00
102,102,1115,dowod_osobisty,zaakceptowany,13:22:00,13:30:00,13:36:00
103,103,1101,dowod_osobisty,zakonczony,09:40:00,09:44:00,09:47:00
104,104,1137,paszport,zaakceptowany,10:04:00,10:11:00,10:16:00
105,105,1459,prawo_jazdy,odrzucony,15:44:00,15:48:00,15:58:00
106,106,1445,dowod_osobisty,zaakceptowany,11:29:00,11:34:00,11:36:00
107,107,1261,dowod_osobisty,zakonczony,13:39:00,13:49:00,13:53:00
108,108,1167,prawo_jazdy,odrzucony,12:45:00,12:51:00,
109,109,1262,paszport,zaakceptowany,10:56:00,11:04:00,
110,110,1205,paszport,zaakceptowany,13:43:00,13:51:00,
111,111,1244,dowod_osobisty,zakonczony,08:12:00,08:22:00,
112,112,1256,prawo_jazdy,tworzony,13:59:00,14:04:00,14:09:00
113,113,1399,paszport,tworzony,10:47:00,10:51:00,
114,114,1292,prawo_jazdy,zakonczony,12:24:00,12:33:00,
115,115,1434,paszport,Oczekuje_na_odbior,10:27:00,10:30:00,10:39:00
116,116,1376,prawo_jazdy,tworzony,12:12:00,12:17:00,12:24:00
117,117,1383,paszport,Oczekuje_na_odbior,14:25:00,14:31:00,
118,118,1262,prawo_jazdy,zaakceptowany,13:19:00,13:22:00,13:31:00
119,119,1238,prawo_jazdy,zaakceptowany,10:38:00,10:44:00,10:47:00
120,120,1343,prawo_jazdy,zakonczony,15:36:00,15:46:00,15:48:00
121,121,1387,dowod_osobisty,tworzony,13:00:00,13:10:00,13:16:00
122,122,1151,prawo_jazdy,zaakceptowany,12:45:00,12:53:00,13:00:00
123,123,1366,paszport,Oczekuje_na_odbior,11:56:00,12:04:00,12:07:00
124,124,1154,dowod_osobisty,zakonczony,12:27:00,12:30:00,
125,125,1130,prawo_jazdy,tworzony,08:03:00,08:09:00,08:15:00
126,126,1200,paszport,zakonczony,13:17:00,13:23:00,13:32:00
127,127,1328,prawo_jazdy,zaakceptowany,08:29:00,08:39:00,
128,128,1411,dowod_osobisty,tworzony,08:10:00,08:20:00,08:27:00
129,129,1153,prawo_jazdy,zakonczony,11:04:00,11:13:00,11:17:00
130,130,1236,paszport,zakonczony,11:10:00,11:19:00,11:21:00
